,Lane #2,Lane #2,Lane #2,Lane #2,Lane #2,Lane #2,Lane #3,Lane #3,Lane #3,Lane #3,Lane #3,Lane #3,Lane #4,Lane #4,Lane #4,Lane #4,Lane #4,Lane #4,Lane #5,Lane #5,Lane #5,Lane #5,Lane #5,Lane #5,Lane #6,Lane #6,Lane #6,Lane #6,Lane #6,Lane #6,Lane #7,Lane #7,Lane #7,Lane #7,Lane #7,Lane #7,Lane #8,Lane #8,Lane #8,Lane #8,Lane #8,Lane #8,Lane #9,Lane #9,Lane #9,Lane #9,Lane #9,Lane #9
,HENDERSON,HENDERSON,HENDERSON,HENDERSON,HENDERSON,HENDERSON,SEVILLA,SEVILLA,SEVILLA,SEVILLA,SEVILLA,SEVILLA,BRYANT,BRYANT,BRYANT,BRYANT,BRYANT,BRYANT,LANSIQUOT,LANSIQUOT,LANSIQUOT,LANSIQUOT,LANSIQUOT,LANSIQUOT,SMITH,SMITH,SMITH,SMITH,SMITH,SMITH,NEITA,NEITA,NEITA,NEITA,NEITA,NEITA,AKINOSUN,AKINOSUN,AKINOSUN,AKINOSUN,AKINOSUN,AKINOSUN,SEDNEY,SEDNEY,SEDNEY,SEDNEY,SEDNEY,SEDNEY
Time,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist
00:00.996,-97.41,9.07,3.936,5.276,2.183,2.721,-97.769,7.85,3.496,4.726,1.743,2.362,-97.382,6.63,3.979,5.670,2.131,2.749,-97.621,5.41,3.622,4.652,1.982,2.510,-97.481,4.19,3.768,5.256,2.235,2.650,-97.464,2.97,3.935,5.233,2.066,2.667,-97.567,1.75,3.784,5.037,1.892,2.564,-98.211,0.53,3.171,4.661,1.728,1.919
00:00.996,-97.41,9.07,4.150,5.347,2.183,2.721,-97.769,7.85,3.661,4.611,1.743,2.362,-97.382,6.63,4.177,5.655,2.131,2.749,-97.621,5.41,3.801,4.603,1.982,2.510,-97.481,4.19,3.924,5.130,2.235,2.650,-97.464,2.97,4.101,5.045,2.066,2.667,-97.567,1.75,3.989,5.122,1.892,2.564,-98.211,0.53,3.389,4.724,1.728,1.919
00:00.996,-97.41,9.07,4.385,5.263,2.183,2.721,-97.769,7.85,3.887,4.588,1.743,2.362,-97.382,6.63,4.417,5.610,2.131,2.749,-97.621,5.41,4.024,4.595,1.982,2.510,-97.481,4.19,4.134,5.088,2.235,2.650,-97.464,2.97,4.329,5.014,2.066,2.667,-97.567,1.75,4.258,5.155,1.892,2.564,-98.211,0.53,3.674,4.761,1.728,1.919
00:01.096,-96.939,9.07,4.589,5.191,2.183,3.192,-97.336,7.85,4.082,4.569,1.743,2.795,-96.945,6.63,4.625,5.571,2.131,3.186,-97.222,5.41,4.217,4.588,1.982,2.909,-97.049,4.19,4.316,5.052,2.235,3.082,-97.042,2.97,4.526,4.986,2.066,3.089,-97.123,1.75,4.491,5.183,1.892,3.008,-97.817,0.53,3.922,4.793,1.728,2.314
00:01.196,-96.444,9.07,4.787,4.996,3.598,3.687,-96.849,7.85,4.264,4.381,3.122,3.282,-96.411,6.63,4.833,5.409,3.511,3.720,-96.734,5.41,4.429,4.556,3.276,3.393,-96.541,4.19,4.532,5.051,3.450,3.590,-96.547,2.97,4.736,4.919,3.447,3.584,-96.649,1.75,4.707,4.991,3.278,3.482,-97.336,0.53,4.151,4.643,2.998,2.795
00:01.196,-96.444,9.07,4.962,4.823,3.598,3.687,-96.849,7.85,4.424,4.215,3.122,3.282,-96.411,6.63,5.034,5.265,3.511,3.720,-96.734,5.41,4.624,4.451,3.276,3.393,-96.541,4.19,4.742,5.001,3.450,3.590,-96.547,2.97,4.931,4.799,3.447,3.584,-96.649,1.75,4.890,4.726,3.278,3.482,-97.336,0.53,4.366,4.510,2.998,2.795
00:01.196,-96.444,9.07,5.116,4.610,3.598,3.687,-96.849,7.85,4.584,4.107,3.122,3.282,-96.411,6.63,5.212,5.137,3.511,3.720,-96.734,5.41,4.798,4.357,3.276,3.393,-96.541,4.19,4.929,4.956,3.450,3.590,-96.547,2.97,5.105,4.693,3.447,3.584,-96.649,1.75,5.053,4.490,3.278,3.482,-97.336,0.53,4.559,4.333,2.998,2.795
00:01.296,-95.831,9.07,5.265,4.446,3.598,4.301,-96.354,7.85,4.733,3.985,3.122,3.777,-95.841,6.63,5.385,4.933,3.511,4.291,-96.132,5.41,4.968,4.197,3.276,4.000,-95.986,4.19,5.103,4.775,3.450,4.146,-95.938,2.97,5.280,4.575,3.447,4.194,-96.094,1.75,5.238,4.428,3.278,4.038,-96.807,0.53,4.742,4.189,2.998,3.324
00:01.396,-95.194,9.07,5.420,4.367,4.709,4.938,-95.753,7.85,4.881,3.895,4.702,4.379,-95.17,6.63,5.540,4.750,4.616,4.962,-95.554,5.41,5.120,4.053,4.367,4.578,-95.4,4.19,5.259,4.612,4.512,4.732,-95.26,2.97,5.438,4.469,4.548,4.872,-95.47,1.75,5.404,4.372,4.307,4.662,-96.217,0.53,4.906,4.060,4.118,3.914
00:01.396,-95.194,9.07,5.552,4.177,4.709,4.938,-95.753,7.85,5.033,3.790,4.702,4.379,-95.17,6.63,5.692,4.536,4.616,4.962,-95.554,5.41,5.271,3.990,4.367,4.578,-95.4,4.19,5.412,4.445,4.512,4.732,-95.26,2.97,5.578,4.261,4.548,4.872,-95.47,1.75,5.549,4.184,4.307,4.662,-96.217,0.53,5.068,3.929,4.118,3.914
