,Lane #2,Lane #2,Lane #2,Lane #2,Lane #2,Lane #2,Lane #3,Lane #3,Lane #3,Lane #3,Lane #3,Lane #3,Lane #4,Lane #4,Lane #4,Lane #4,Lane #4,Lane #4,Lane #5,Lane #5,Lane #5,Lane #5,Lane #5,Lane #5,Lane #6,Lane #6,Lane #6,Lane #6,Lane #6,Lane #6,Lane #7,Lane #7,Lane #7,Lane #7,Lane #7,Lane #7,Lane #8,Lane #8,Lane #8,Lane #8,Lane #8,Lane #8,Lane #9,Lane #9,Lane #9,Lane #9,Lane #9,Lane #9
,HENDERSON,HENDERSON,HENDERSON,HENDERSON,HENDERSON,HENDERSON,SEVILLA,SEVILLA,SEVILLA,SEVILLA,SEVILLA,SEVILLA,BRYANT,BRYANT,BRYANT,BRYANT,BRYANT,BRYANT,LANSIQUOT,LANSIQUOT,LANSIQUOT,LANSIQUOT,LANSIQUOT,LANSIQUOT,SMITH,SMITH,SMITH,SMITH,SMITH,SMITH,NEITA,NEITA,NEITA,NEITA,NEITA,NEITA,AKINOSUN,AKINOSUN,AKINOSUN,AKINOSUN,AKINOSUN,AKINOSUN,SEDNEY,SEDNEY,SEDNEY,SEDNEY,SEDNEY,SEDNEY
Time,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist
00:03.596,-77.157,9.07,9.071,0.578,22.560,22.984,-77.605,7.85,9.042,0.607,20.976,22.536,-75.909,6.63,9.578,0.327,23.589,24.233,-77.242,5.41,9.227,0.785,22.331,22.873,-76.987,4.19,9.238,0.738,22.540,23.154,-76.222,2.97,9.578,0.483,23.202,23.919,-76.558,1.75,9.377,0.615,22.861,23.583,-77.898,0.53,9.014,0.659,22.434,22.243
00:03.696,-76.206,9.07,9.150,0.523,24.341,23.935,-76.775,7.85,9.117,0.577,22.864,23.366,-74.833,6.63,9.633,0.250,25.616,25.309,-76.372,5.41,9.294,0.657,24.121,23.769,-76.227,4.19,9.302,0.652,24.269,23.914,-75.329,2.97,9.642,0.388,24.277,24.813,-75.453,1.75,9.421,0.481,24.940,24.689,-76.936,0.53,9.057,0.507,22.434,23.200
00:03.796,-75.236,9.07,9.211,0.433,24.341,24.906,-75.883,7.85,9.175,0.454,22.864,24.259,-73.892,6.63,9.691,0.289,25.616,26.251,-75.417,5.41,9.367,0.620,24.121,24.725,-75.356,4.19,9.342,0.507,24.269,24.786,-74.258,2.97,9.699,0.336,24.277,25.884,-74.467,1.75,9.475,0.493,24.940,25.675,-76.003,0.53,9.106,0.470,22.434,24.139
00:03.896,-74.287,9.07,9.259,0.278,26.260,25.855,-75.013,7.85,9.224,0.375,24.593,25.129,-72.886,6.63,9.748,0.357,27.562,27.257,-74.441,5.41,9.432,0.641,26.052,25.701,-74.349,4.19,9.377,0.386,26.147,25.793,-73.284,2.97,9.740,0.263,26.235,26.859,-73.517,1.75,9.523,0.513,25.942,26.626,-75.098,0.53,9.169,0.556,24.336,25.036
00:03.996,-73.285,9.07,9.316,0.236,26.260,26.858,-74.063,7.85,9.265,0.282,24.593,26.080,-71.891,6.63,9.756,0.155,27.562,28.253,-73.565,5.41,9.475,0.435,26.052,26.578,-73.229,4.19,9.396,0.239,26.147,26.914,-72.171,2.97,9.770,0.185,26.235,27.972,-72.608,1.75,9.580,0.567,25.942,27.535,-74.189,0.53,9.219,0.539,24.336,25.953
00:04.096,-72.257,9.07,9.379,0.286,27.286,27.886,-73.139,7.85,9.272,0.134,26.420,27.004,-70.896,6.63,9.754,0.008,28.600,29.248,-72.579,5.41,9.524,0.369,26.052,27.564,-72.201,4.19,9.407,0.168,27.289,27.942,-71.18,2.97,9.799,0.154,28.322,28.964,-71.599,1.75,9.622,0.517,27.806,28.545,-73.362,0.53,9.262,0.496,26.150,26.781
00:04.196,-71.188,9.07,9.362,-0.154,28.303,28.956,-72.131,7.85,9.283,0.036,26.420,28.013,-69.786,6.63,9.745,-0.130,28.600,30.359,-71.419,5.41,9.576,0.328,27.932,28.725,-71.14,4.19,9.422,0.124,29.356,29.004,-70.1,2.97,9.808,0.028,30.385,30.045,-70.528,1.75,9.655,0.445,29.887,29.616,-72.372,0.53,9.301,0.440,27.959,27.771
00:04.296,-70.219,9.07,9.349,-0.256,29.381,29.925,-71.089,7.85,9.307,0.102,28.359,29.055,-68.741,6.63,9.723,-0.219,31.717,31.404,-70.376,5.41,9.553,-0.023,30.116,29.768,-70.112,4.19,9.477,0.271,30.384,30.033,-69.041,2.97,9.811,-0.030,31.444,31.104,-69.571,1.75,9.620,0.110,29.887,30.574,-71.425,0.53,9.306,0.264,27.959,28.719
00:04.396,-69.097,9.07,9.337,-0.359,29.381,31.048,-70.086,7.85,9.331,0.167,29.401,30.059,-67.601,6.63,9.701,-0.308,31.717,32.545,-69.356,5.41,9.562,-0.036,30.116,30.789,-69.071,4.19,9.534,0.359,30.384,31.074,-67.91,2.97,9.821,-0.020,31.444,32.236,-68.503,1.75,9.589,-0.036,29.887,31.642,-70.356,0.53,9.222,-0.303,27.959,29.788
00:04.496,-68.05,9.07,9.318,-0.452,32.502,32.096,-69.143,7.85,9.357,0.197,31.329,31.002,-66.587,6.63,9.645,-0.503,33.868,33.559,-68.434,5.41,9.605,0.126,31.156,31.711,-68.084,4.19,9.579,0.339,31.435,32.062,-66.941,2.97,9.866,0.157,32.585,33.205,-67.438,1.75,9.562,-0.088,32.967,32.708,-69.337,0.53,9.113,-0.676,29.992,30.799
00:04.596,-66.933,9.07,9.374,-0.088,32.502,33.213,-68.181,7.85,9.396,0.289,31.329,31.964,-65.477,6.63,9.599,-0.530,33.868,34.670,-67.404,5.41,9.648,0.288,31.156,32.742,-67.1,4.19,9.628,0.325,31.435,33.046,-65.959,2.97,9.933,0.327,32.585,34.188,-66.403,1.75,9.565,-0.015,32.967,33.743,-68.281,0.53,9.030,-0.729,29.992,31.864
00:04.696,-65.996,9.07,9.370,-0.160,33.629,34.151,-67.194,7.85,9.427,0.277,31.329,32.952,-64.528,6.63,9.565,-0.467,34.994,35.619,-66.384,5.41,9.681,0.294,33.107,33.762,-66.003,4.19,9.663,0.255,34.493,34.144,-64.843,2.97,9.958,0.205,35.642,35.304,-65.456,1.75,9.550,-0.044,34.026,34.691,-67.395,0.53,8.964,-0.663,32.058,32.751
00:04.796,-64.971,9.07,9.388,-0.119,35.581,35.176,-66.182,7.85,9.414,0.038,33.297,33.964,-63.514,6.63,9.498,-0.612,36.937,36.634,-65.398,5.41,9.749,0.383,34.127,34.749,-65.025,4.19,9.664,0.048,34.493,35.122,-63.904,2.97,9.955,0.010,35.642,36.244,-64.535,1.75,9.557,0.049,35.892,35.612,-66.47,0.53,8.986,-0.172,33.851,33.667
00:04.896,-64.011,9.07,9.413,-0.024,35.581,36.137,-65.215,7.85,9.393,-0.119,33.297,34.932,-62.602,6.63,9.511,0.106,36.937,37.546,-64.51,5.41,9.788,0.285,34.127,35.637,-64.091,4.19,9.645,-0.149,34.493,36.057,-62.927,2.97,9.973,0.017,35.642,37.221,-63.598,1.75,9.537,-0.035,35.892,36.550,-65.557,0.53,9.072,0.478,33.851,34.590
00:04.996,-63.058,9.07,9.435,0.002,37.496,37.090,-64.285,7.85,9.389,-0.177,35.267,35.862,-61.518,6.63,9.580,0.748,38.933,38.631,-63.431,5.41,9.833,0.232,37.063,36.717,-63.162,4.19,9.664,-0.111,36.425,36.986,-61.952,2.97,10.016,0.141,37.568,38.197,-62.585,1.75,9.489,-0.220,37.844,37.563,-64.573,0.53,9.177,0.800,35.751,35.565
00:05.096,-62.112,9.07,9.482,0.065,37.496,38.037,-63.303,7.85,9.415,-0.074,35.267,36.845,-60.533,6.63,9.652,0.673,38.933,39.616,-62.316,5.41,9.849,0.191,37.063,37.832,-62.185,4.19,9.732,0.209,36.425,37.963,-61.032,2.97,10.055,0.219,37.568,39.117,-61.601,1.75,9.436,-0.427,37.844,38.548,-63.543,0.53,9.231,0.654,35.751,36.605
00:05.196,-61.085,9.07,9.513,0.150,37.496,39.064,-62.4,7.85,9.440,-0.021,37.179,37.748,-59.738,6.63,9.695,0.497,39.938,40.412,-61.472,5.41,9.831,0.024,38.197,38.677,-61.324,4.19,9.722,-0.037,38.331,38.825,-60.13,2.97,10.067,0.167,39.463,40.020,-60.759,1.75,9.389,-0.479,37.844,39.390,-62.58,0.53,9.223,0.301,36.799,37.568
00:05.296,-60.166,9.07,9.560,0.050,39.481,39.983,-61.502,7.85,9.502,0.175,37.179,38.647,-58.823,6.63,9.697,0.192,39.938,41.327,-60.463,5.41,9.893,0.491,38.197,39.686,-60.38,4.19,9.652,-0.529,38.331,39.769,-59.15,2.97,10.088,0.183,39.463,41.000,-59.822,1.75,9.414,-0.140,39.698,40.328,-61.628,0.53,9.186,-0.023,36.799,38.521
00:05.396,-59.619,9.07,9.577,-0.147,40.942,40.531,-60.571,7.85,9.550,0.206,38.980,39.578,-57.945,6.63,9.696,0.024,41.652,42.197,-59.458,5.41,9.970,0.620,40.051,40.692,-59.439,4.19,9.550,-0.930,40.126,40.711,-58.289,2.97,10.077,0.029,41.355,41.861,-58.942,1.75,9.505,0.365,41.499,41.208,-60.686,0.53,9.214,0.138,38.724,39.463
00:05.496,-58.747,9.07,9.572,-0.353,40.942,41.403,-59.623,7.85,9.580,0.193,40.850,40.527,-57.199,6.63,9.687,-0.109,43.257,42.943,-58.724,5.41,9.952,0.225,41.776,41.426,-58.433,4.19,9.446,-1.092,42.063,41.717,-57.45,2.97,10.042,-0.170,43.036,42.701,-58.202,1.75,9.553,0.407,41.499,41.948,-59.87,0.53,9.303,0.484,40.463,40.280
00:05.596,-58.063,9.07,9.541,-0.587,40.942,42.088,-58.68,7.85,9.556,-0.080,40.850,41.470,-56.537,6.63,9.647,-0.329,43.257,43.614,-57.772,5.41,9.899,-0.142,41.776,42.379,-57.468,4.19,9.306,-1.350,42.063,42.674,-56.488,2.97,9.948,-0.560,43.036,43.663,-57.404,1.75,9.580,0.330,41.499,42.747,-59.414,0.53,9.342,0.403,40.463,40.736
00:05.696,-56.944,9.07,9.590,-0.299,42.507,43.207,-57.673,7.85,9.524,-0.323,40.850,42.478,-55.738,6.63,9.607,-0.549,43.257,44.414,-56.713,5.41,9.850,-0.440,41.776,43.438,-56.478,4.19,9.166,-1.594,42.063,43.663,-55.35,2.97,9.840,-1.005,43.036,44.802,-56.481,1.75,9.592,0.169,43.060,43.670,-58.877,0.53,9.377,0.342,40.463,41.273
00:05.796,-56.192,9.07,9.608,-0.251,43.626,43.959,-56.73,7.85,9.514,-0.299,42.810,43.421,-54.901,6.63,9.540,-0.733,44.745,45.251,-55.79,5.41,9.774,-0.725,43.806,44.362,-55.484,4.19,9.079,-1.450,44.028,44.668,-54.21,2.97,9.837,-0.646,45.146,45.942,-55.464,1.75,9.636,0.247,43.060,44.688,-58.149,0.53,9.411,0.354,41.494,42.002
00:05.896,-55.263,9.07,9.622,-0.385,43.626,44.889,-55.756,7.85,9.506,-0.277,42.810,44.396,-54.097,6.63,9.393,-1.653,44.745,46.056,-54.662,5.41,9.677,-0.673,43.806,45.490,-54.518,4.19,9.057,-1.245,45.033,45.634,-53.31,2.97,9.806,-0.617,46.286,46.843,-54.596,1.75,9.650,0.052,45.000,45.556,-57.419,0.53,9.385,0.036,41.494,42.732
00:05.996,-54.33,9.07,9.659,-0.288,45.307,45.822,-54.918,7.85,9.486,-0.341,44.727,45.224,-53.302,6.63,9.284,-1.788,46.391,46.851,-53.491,5.41,9.633,-0.375,45.857,46.662,-53.691,4.19,9.103,-0.486,45.033,46.462,-52.344,2.97,9.756,-0.736,48.147,47.809,-53.653,1.75,9.665,-0.011,46.810,46.500,-56.298,0.53,9.300,-0.394,42.962,43.853
00:06.097,-53.375,9.07,9.626,-0.594,45.307,46.778,-54.097,7.85,9.471,-0.346,44.727,46.056,-51.731,6.63,9.258,-1.431,46.391,48.423,-52.574,5.41,9.590,-0.227,47.029,47.579,-52.808,4.19,9.129,-0.525,46.828,47.345,-51.18,2.97,9.789,-0.385,48.147,48.974,-52.793,1.75,9.730,0.198,46.810,47.360,-54.914,0.53,9.264,-0.326,42.962,45.238
00:06.196,-52.401,9.07,9.590,-0.739,47.195,47.752,-53.09,7.85,9.435,-0.475,46.386,47.063,-50.371,6.63,9.311,-0.744,48.757,49.783,-51.763,5.41,9.604,0.148,47.029,48.391,-51.852,4.19,9.140,-0.601,46.828,48.302,-50.13,2.97,9.765,-0.444,49.321,50.025,-51.881,1.75,9.795,0.366,46.810,48.273,-53.696,0.53,9.247,-0.154,45.467,46.457
00:06.296,-51.295,9.07,9.596,-0.641,49.267,48.859,-52.133,7.85,9.389,-0.589,47.394,48.021,-49.199,6.63,9.438,-0.186,51.290,50.956,-50.781,5.41,9.646,0.419,48.757,49.373,-50.748,4.19,9.255,-0.105,49.754,49.406,-49.086,2.97,9.794,-0.243,51.405,51.069,-51.001,1.75,9.811,0.164,48.592,49.153,-52.773,0.53,9.286,0.185,46.689,47.380
00:06.396,-49.988,9.07,9.609,-0.522,49.267,50.167,-51.154,7.85,9.357,-0.555,47.394,49.000,-48.195,6.63,9.507,-0.217,51.290,51.960,-49.925,5.41,9.727,0.711,48.757,50.230,-49.943,4.19,9.381,0.194,49.754,50.202,-48.09,2.97,9.823,-0.148,51.405,52.066,-50.168,1.75,9.777,-0.185,48.592,49.986,-52.039,0.53,9.337,0.410,46.689,48.115
00:06.496,-49.031,9.07,9.612,-0.516,50.583,51.124,-50.053,7.85,9.332,-0.508,50.422,50.102,-47.305,6.63,9.625,0.024,52.304,52.851,-48.428,5.41,9.831,1.232,52.091,51.727,-49.338,4.19,9.523,0.518,51.165,50.817,-47.022,2.97,9.861,-0.047,53.469,53.134,-48.95,1.75,9.772,-0.381,51.518,51.205,-51.289,0.53,9.394,0.715,48.356,48.865
00:06.596,-48.046,9.07,9.606,-0.570,52.516,52.110,-49.01,7.85,9.350,-0.349,51.465,51.145,-46.288,6.63,9.725,0.146,54.213,53.868,-47.394,5.41,9.875,1.242,53.126,52.762,-48.544,4.19,9.631,0.662,51.165,51.611,-46.025,2.97,9.900,0.019,53.469,54.132,-47.644,1.75,9.771,-0.370,52.835,52.512,-50.141,0.53,9.447,0.699,50.251,50.014
00:06.696,-47.213,9.07,9.673,-0.159,52.516,52.943,-48.154,7.85,9.361,-0.307,51.465,52.002,-45.239,6.63,9.838,0.272,54.213,54.918,-46.508,5.41,9.942,1.358,53.126,53.648,-47.759,4.19,9.741,0.745,51.165,52.397,-45.125,2.97,9.926,-0.011,53.469,55.032,-46.529,1.75,9.752,-0.451,52.835,53.627,-48.813,0.53,9.440,0.396,50.251,51.342
00:06.796,-45.897,9.07,9.733,-0.098,52.516,54.260,-47.26,7.85,9.367,-0.299,51.465,52.896,-44.371,6.63,9.979,0.497,54.213,55.786,-45.682,5.41,10.059,1.730,53.126,54.475,-47.169,4.19,9.837,0.756,52.765,52.987,-44.434,2.97,9.966,-0.019,55.376,55.723,-45.554,1.75,9.766,-0.401,53.960,54.603,-47.896,0.53,9.462,0.212,51.590,52.260
00:06.896,-44.821,9.07,9.774,-0.110,54.677,55.336,-46.286,7.85,9.402,-0.160,53.224,53.870,-43.555,6.63,10.040,0.601,56.139,56.603,-45.039,5.41,10.127,1.616,54.861,55.118,-46.271,4.19,9.853,0.412,52.765,53.885,-43.146,2.97,10.001,-0.023,55.376,57.002,-44.31,1.75,9.843,0.028,53.960,55.847,-46.749,0.53,9.517,0.466,51.590,53.407
00:06.996,-43.551,9.07,9.833,-0.025,55.754,56.607,-45.364,7.85,9.423,-0.230,53.224,54.793,-41.909,6.63,10.181,1.209,56.139,58.250,-44.519,5.41,10.178,1.475,54.861,55.638,-45.099,4.19,9.834,0.149,54.258,55.058,-42.268,2.97,10.024,-0.090,57.355,57.890,-43.125,1.75,9.926,0.271,56.180,57.033,-45.742,0.53,9.634,0.869,53.654,54.415
00:07.096,-42.56,9.07,9.817,-0.363,57.027,57.598,-44.366,7.85,9.429,-0.362,55.175,55.791,-41.909,6.63,10.313,1.648,58.250,58.250,-43.666,5.41,10.236,1.375,56.026,56.447,-44.163,4.19,9.812,0.001,55.430,55.994,-41.322,2.97,9.979,-0.465,59.169,58.837,-42.144,1.75,9.960,0.154,57.367,58.015,-44.915,0.53,9.743,1.028,54.661,55.242
00:07.196,-41.439,9.07,9.866,-0.203,57.027,58.720,-43.466,7.85,9.435,-0.433,55.175,56.692,-41.051,6.63,10.399,1.646,59.108,59.108,-42.641,5.41,10.307,1.403,56.026,57.517,-42.491,4.19,9.795,-0.100,55.430,57.667,-40.404,2.97,9.999,-0.322,59.169,59.755,-41.152,1.75,10.005,0.145,57.367,59.007,-44.395,0.53,9.899,1.345,56.012,55.762
00:07.296,-40.675,9.07,9.933,-0.104,59.143,59.484,-42.478,7.85,9.477,-0.286,57.019,57.680,-39.894,6.63,10.409,1.305,60.257,60.266,-41.765,5.41,10.238,0.964,57.914,58.394,-41.655,4.19,9.798,0.028,58.031,58.504,-39.178,2.97,10.012,-0.288,59.169,60.982,-39.95,1.75,10.047,0.126,59.344,60.210,-43.425,0.53,9.963,1.029,56.012,56.733
00:07.396,-39.753,9.07,9.971,-0.239,59.143,60.407,-41.628,7.85,9.519,-0.218,57.019,58.531,-38.468,6.63,10.364,0.659,61.414,61.692,-40.586,5.41,10.194,0.866,57.914,59.573,-40.66,4.19,9.794,0.054,59.853,59.499,-38.377,2.97,9.996,-0.416,61.323,61.783,-38.826,1.75,10.112,0.237,61.659,61.334,-42.489,0.53,9.993,0.614,57.925,57.669
00:07.496,-38.709,9.07,9.993,-0.416,61.870,61.451,-40.848,7.85,9.560,-0.150,58.858,59.311,-36.983,6.63,10.243,0.013,64.318,63.177,-39.348,5.41,10.150,0.769,61.158,60.812,-39.17,4.19,9.790,0.080,61.342,60.990,-37.209,2.97,9.985,-0.445,63.282,62.951,-37.905,1.75,10.174,0.306,61.659,62.255,-41.225,0.53,9.920,-0.008,59.135,58.934
00:07.596,-37.69,9.07,9.985,-0.616,62.889,62.470,-39.943,7.85,9.556,-0.290,60.537,60.217,-35.931,6.63,10.161,0.232,65.370,64.229,-38.055,5.41,10.150,0.819,62.468,62.105,-37.908,4.19,9.790,0.119,62.606,62.252,-36.221,2.97,9.959,-0.530,63.282,63.939,-37.128,1.75,10.240,0.362,63.358,63.032,-40.026,0.53,9.898,-0.162,60.328,60.134
00:07.696,-36.738,9.07,10.000,-0.675,62.889,63.422,-38.899,7.85,9.550,-0.330,60.537,61.261,-34.93,6.63,10.143,0.483,65.370,65.230,-37.139,5.41,10.137,0.879,62.468,63.021,-37.049,4.19,9.820,0.297,62.606,63.111,-35.224,2.97,9.959,-0.432,63.282,64.926,-36.246,1.75,10.301,0.383,63.358,63.914,-38.848,0.53,9.967,0.255,60.328,61.312
00:07.796,-35.762,9.07,9.998,-0.550,64.819,64.398,-37.932,7.85,9.514,-0.479,61.591,62.228,-33.717,6.63,10.200,0.985,67.586,66.443,-36.023,5.41,10.062,0.418,64.515,64.137,-35.715,4.19,9.879,0.530,64.799,64.445,-34.133,2.97,9.964,-0.358,66.358,66.027,-35.294,1.75,10.293,0.044,65.192,64.866,-37.823,0.53,10.047,0.517,62.595,62.337
00:07.896,-34.819,9.07,9.996,-0.469,64.819,65.341,-36.992,7.85,9.467,-0.604,61.591,63.168,-32.534,6.63,10.247,1.183,67.586,67.626,-34.816,5.41,9.995,0.410,64.515,65.344,-34.493,4.19,9.939,0.649,64.799,65.667,-33.238,2.97,9.958,-0.375,66.358,66.922,-34.503,1.75,10.208,-0.506,65.192,65.657,-37.045,0.53,10.055,0.287,62.595,63.115
00:07.996,-33.954,9.07,9.979,-0.462,64.819,66.206,-35.895,7.85,9.426,-0.691,63.497,64.265,-32.284,6.63,10.252,1.076,68.780,67.876,-33.621,5.41,9.965,0.590,65.742,66.539,-33.604,4.19,9.991,0.673,66.031,66.556,-32.243,2.97,9.945,-0.421,66.358,67.907,-33.748,1.75,10.118,-0.809,65.192,66.412,-36.228,0.53,9.964,-0.319,62.595,63.932
00:08.096,-33.073,9.07,10.014,-0.199,66.637,67.087,-34.82,7.85,9.430,-0.508,64.595,65.340,-31.214,6.63,10.254,1.010,68.780,68.946,-32.633,5.41,10.010,1.053,66.937,67.527,-32.715,4.19,10.103,0.984,66.031,67.445,-31.213,2.97,10.003,-0.090,68.258,68.947,-32.553,1.75,10.088,-0.659,66.752,67.607,-35.453,0.53,9.952,-0.232,64.200,64.707
00:08.196,-32.185,9.07,9.970,-0.457,66.637,67.975,-33.889,7.85,9.439,-0.392,65.674,66.271,-29.905,6.63,10.282,1.187,70.101,70.255,-31.489,5.41,10.063,1.459,66.937,68.671,-31.818,4.19,10.221,1.278,67.810,68.342,-30.05,2.97,10.059,0.245,69.288,70.110,-31.41,1.75,10.067,-0.496,67.947,68.750,-34.485,0.53,9.897,-0.399,64.200,65.675
00:08.296,-31.147,9.07,9.906,-0.668,68.413,69.013,-32.934,7.85,9.427,-0.437,65.674,67.226,-28.968,6.63,10.342,1.435,71.411,71.192,-30.339,5.41,10.145,1.802,69.070,69.821,-30.879,4.19,10.297,1.220,67.810,69.271,-29.196,2.97,10.020,-0.123,70.452,70.964,-30.425,1.75,10.010,-0.588,69.095,69.735,-33.507,0.53,9.840,-0.541,65.952,66.653
00:08.396,-30.035,9.07,9.855,-0.605,69.451,70.125,-31.903,7.85,9.419,-0.430,67.559,68.257,-28.397,6.63,10.477,2.377,71.411,71.763,-29.54,5.41,10.240,1.804,70.220,70.620,-30.048,4.19,10.313,1.104,69.646,70.112,-28.078,2.97,10.009,-0.115,70.452,72.082,-29.421,1.75,9.987,-0.417,69.095,70.739,-32.268,0.53,9.826,-0.414,65.952,67.892
00:08.496,-28.921,9.07,9.795,-0.612,71.684,71.239,-30.9,7.85,9.430,-0.331,68.591,69.260,-27.732,6.63,10.564,2.501,72.920,72.428,-28.629,5.41,10.271,1.487,71.908,71.531,-29.113,4.19,10.226,0.213,71.402,71.047,-27.099,2.97,10.025,0.019,72.424,73.061,-28.382,1.75,9.986,-0.216,72.113,71.778,-31.239,0.53,9.915,0.193,69.179,68.921
00:08.596,-27.988,9.07,9.804,-0.284,71.684,72.172,-29.968,7.85,9.428,-0.321,70.517,70.192,-26.694,6.63,10.571,2.088,74.613,73.466,-27.752,5.41,10.308,1.349,71.908,72.408,-28.259,4.19,10.171,0.199,71.402,71.901,-26.047,2.97,9.982,-0.166,74.446,74.113,-27.297,1.75,9.952,-0.259,73.198,72.863,-29.952,0.53,9.962,0.284,70.467,70.208
00:08.696,-26.996,9.07,9.823,-0.068,71.684,73.164,-29.079,7.85,9.463,-0.138,70.517,71.081,-25.595,6.63,10.502,1.425,74.613,74.565,-26.78,5.41,10.308,1.099,71.908,73.380,-27.125,4.19,10.137,0.295,71.402,73.035,-25.105,2.97,9.998,0.036,74.446,75.055,-26.241,1.75,9.908,-0.328,73.198,73.919,-29.124,0.53,9.967,0.109,70.467,71.036
00:08.796,-25.989,9.07,9.826,-0.034,73.620,74.171,-28.198,7.85,9.531,0.066,70.517,71.962,-24.401,6.63,10.347,0.739,75.722,75.759,-26.034,5.41,10.267,0.759,73.778,74.126,-26.235,4.19,10.022,-0.053,73.410,73.925,-24.099,2.97,9.959,-0.146,74.446,76.061,-25.234,1.75,9.900,-0.185,74.264,74.926,-28.101,0.53,9.926,-0.206,70.467,72.059
00:08.896,-24.882,9.07,9.802,-0.153,74.629,75.278,-27.253,7.85,9.570,0.022,72.296,72.907,-23.388,6.63,10.236,0.620,76.916,76.772,-25.134,5.41,10.183,0.377,73.778,75.026,-25.208,4.19,9.906,-0.180,73.410,74.952,-23.047,2.97,9.931,-0.179,76.404,77.113,-24.233,1.75,9.935,0.101,75.271,75.927,-26.982,0.53,9.859,-0.495,73.437,73.178
00:08.996,-23.917,9.07,9.778,-0.271,75.741,76.243,-26.299,7.85,9.609,-0.023,72.296,73.861,-22.167,6.63,10.126,0.501,77.939,77.993,-24.171,5.41,10.099,-0.006,75.438,75.989,-24.383,4.19,9.794,-0.321,75.331,75.777,-21.954,2.97,9.912,-0.159,77.466,78.206,-23.212,1.75,9.959,0.358,75.271,76.948,-26.006,0.53,9.808,-0.720,73.437,74.154
00:09.096,-22.893,9.07,9.776,-0.239,75.741,77.267,-25.397,7.85,9.604,-0.165,74.197,74.763,-21.06,6.63,10.061,0.564,79.151,79.100,-23.192,5.41,10.034,-0.118,75.438,76.968,-23.44,4.19,9.696,-0.472,75.331,76.720,-20.998,2.97,9.871,-0.265,78.560,79.162,-22.308,1.75,9.961,0.280,77.304,77.852,-25.02,0.53,9.733,-0.806,73.437,75.140
00:09.196,-21.953,9.07,9.780,-0.180,77.730,78.207,-24.452,7.85,9.603,-0.242,76.035,75.708,-20.101,6.63,9.990,0.615,80.258,80.059,-22.27,5.41,9.944,-0.363,77.371,77.890,-22.531,4.19,9.593,-0.590,77.089,77.629,-20.14,2.97,9.862,-0.178,80.353,80.020,-21.436,1.75,9.989,0.318,79.060,78.724,-24.163,0.53,9.722,-0.590,75.419,75.997
00:09.296,-20.909,9.07,9.770,-0.192,79.712,79.251,-23.48,7.85,9.590,-0.303,76.035,76.680,-19.233,6.63,9.908,0.575,82.075,80.927,-21.145,5.41,9.859,-0.501,79.398,79.015,-21.512,4.19,9.493,-0.649,79.009,78.648,-19.138,2.97,9.865,-0.008,81.355,81.022,-20.383,1.75,10.028,0.482,80.114,79.777,-23.083,0.53,9.706,-0.309,77.336,77.077
00:09.396,-19.955,9.07,9.780,-0.131,79.712,80.205,-22.542,7.85,9.549,-0.497,76.035,77.618,-18.153,6.63,9.905,0.657,82.075,82.007,-20.085,5.41,9.804,-0.381,79.398,80.075,-20.516,4.19,9.473,-0.315,79.009,79.644,-18.176,2.97,9.854,0.014,81.355,81.984,-19.355,1.75,10.009,0.192,80.114,80.805,-22.178,0.53,9.734,-0.113,77.336,77.982
00:09.496,-19.04,9.07,9.804,-0.010,81.581,81.120,-21.648,7.85,9.524,-0.432,77.957,78.512,-17.094,6.63,9.830,0.248,84.204,83.056,-19.154,5.41,9.744,-0.394,80.480,81.006,-19.53,4.19,9.487,-0.039,80.014,80.630,-17.29,2.97,9.792,-0.204,83.203,82.870,-18.342,1.75,9.962,-0.090,81.162,81.818,-21.234,0.53,9.728,-0.193,79.185,78.926
00:09.596,-18.064,9.07,9.819,-0.001,81.581,82.096,-20.703,7.85,9.493,-0.401,77.957,79.457,-16.096,6.63,9.760,-0.119,84.204,84.064,-18.202,5.41,9.675,-0.442,80.480,81.958,-18.524,4.19,9.483,0.008,81.996,81.636,-16.363,2.97,9.780,-0.063,83.203,83.797,-17.321,1.75,9.938,-0.115,83.176,82.839,-20.368,0.53,9.707,-0.301,79.185,79.792
00:09.696,-17.111,9.07,9.804,-0.166,81.581,83.049,-19.728,7.85,9.469,-0.364,79.806,80.432,-15.194,6.63,9.722,-0.140,85.232,84.966,-17.212,5.41,9.601,-0.508,82.362,82.948,-17.647,4.19,9.487,0.126,81.996,82.513,-15.342,2.97,9.748,-0.096,85.152,84.818,-16.271,1.75,9.913,-0.127,84.225,83.889,-19.358,0.53,9.634,-0.615,81.071,80.802
